Name	Set	ImageFile	Cost	Element	Power	FirstCategory	SecondCategory	Type	Job	Effect	
Auron	Opus_I	1-001H_eg.jpg	6	FIRE	9000	X	null	Forward	Guardian	"When Auron deals damage to your opponent, you may play 1 Fire Backup from your hand onto the field dull."
Auron	Opus_I	1-002R_eg.jpg	5	FIRE	9000	X	null	Forward	Guardian	The Backups you control cannot be broken by your opponent's Summons or abilities.
Red Mage	Opus_I	1-003C_eg.jpg	2	FIRE	0	I	null	Backup	Standard Unit	{FIRE}{1}{TAP}: Choose 1 Forward. It cannot block this turn.
Ifrit	Opus_I	1-004C_eg.jpg	1	FIRE	0	F	null	Summon		[[ex]]EX BURST[[/]] Choose 1 Forward. Deal it 4000 damage.
Warrior of Light	Opus_I	1-005R_eg.jpg	2	FIRE	5000	D	I	Forward	Warrior	"If Warrior of Light deals damage to a Forward of cost 4 or more, double the damage instead."
Garland	Opus_I	1-006H_eg.jpg	5	FIRE	8000	D	I	Forward	Knight	"Brave[[br]] When Garland attacks, Garland gains +4000 power until the end of the turn."
Gadot	Opus_I	1-007R_eg.jpg	2	FIRE	4000	X	null	Forward	NORA	"When Gadot enters the field, you may play 1 Fire Forward of cost 2 or less from your hand onto the field.[[br]] When Gadot enters the field, all the Forwards you control gain +1000 power until the end of the turn."
Ranger	Opus_I	1-008C_eg.jpg	2	FIRE	0	I	null	Backup	Standard Unit	{FIRE}{1}{TAP}: Choose 1 Forward of cost 3 or less. Deal it 2000 damage.
Cloud	Opus_I	1-009C_eg.jpg	2	FIRE	5000	V	null	Forward	SOLDIER	"If you control a [Category (VII)] Forward other than Cloud, Cloud gains +2000 power.[[br]] When Cloud enters the field, choose 1 Forward opponent controls. Deal it 2000 damage."
Black Mage	Opus_I	1-010C_eg.jpg	2	FIRE	0	I	null	Backup	Standard Unit	"{FIRE}{TAP}, put Black Mage into the Break Zone: Choose 1 Forward. Deal it 4000 damage."
Evoker	Opus_I	1-011C_eg.jpg	1	FIRE	0	I	null	Backup	Standard Unit	
Zack	Opus_I	1-012R_eg.jpg	3	FIRE	6000	V	null	Forward	SOLDIER	"If you control [Card Name (Aerith)], Zack gains +2000 power.[[br]] When Zack enters the field, choose 1 Forward opponent controls. Deal it 2000 damage."
Sazh	Opus_I	1-013H_eg.jpg	3	FIRE	0	X	null	Backup	Ravager	"{TAP}: Choose 1 Forward. Deal it 2000 damage. Sazh will not activate during your next Active Phase. If you have cast [Card Name (Brynhildr)] this turn, deal that Forward 4000 damage instead. Sazh will not activate during your next Active Phase."
Samurai	Opus_I	1-014C_eg.jpg	3	FIRE	6000	F	null	Forward	Standard Unit	Brave (Attacking does not cause this Forward to dull.)
